X,Y,Z
186512.0,7397809.0,552.875906883
186612.0,7397809.0,552.087454844
186670.0,7397849.0,551.817489124
186666.0,7397948.0,552.104222081
186668.0,7398048.0,552.305383622
186699.0,7398142.0,552.036991383
186761.0,7398220.0,551.424575653
186815.0,7398303.0,551.129938802
186854.0,7398395.0,551.40938709
186905.0,7398479.0,550.894920314
186972.0,7398554.0,550.460133701
187039.0,7398628.0,549.811475289
187086.0,7398710.0,550.664579062
187071.0,7398801.0,548.640289458
186993.0,7398863.0,548.670697802
186914.0,7398925.0,548.590613283
186836.0,7398988.0,548.38523586
186758.0,7399050.0,548.081658325
186668.0,7399091.0,547.990766506
186573.0,7399124.0,547.775312237
186487.0,7399167.0,547.53740211
186487.0,7399267.0,546.953861358
186487.0,7399367.0,546.261647436
186487.0,7399467.0,545.94132059
186487.0,7399567.0,545.960035893
186487.0,7399667.0,545.983890449
186487.0,7399767.0,546.102241444
186487.0,7399867.0,545.665544321
186489.0,7399966.0,545.559253858
186569.0,7399940.0,545.870580498
186657.0,7399902.0,546.110928532
186755.0,7399884.0,546.832766627
186854.0,7399866.0,547.28300964
186940.0,7399823.0,547.457724199
187011.0,7399753.0,547.371156866
187083.0,7399683.0,547.483020859
187156.0,7399616.0,547.679727097
187233.0,7399551.0,548.034963497
187295.0,7399474.0,548.321456595
187349.0,7399390.0,548.599609599
187430.0,7399369.0,548.922974955
187528.0,7399389.0,548.868084882
187625.0,7399410.0,548.951652327
187710.0,7399374.0,549.670124619
187780.0,7399304.0,550.303299772
187822.0,7399213.0,550.394290119
187864.0,7399122.0,550.547015218
187906.0,7399031.0,550.883853011
187948.0,7398940.0,551.152148098
188004.0,7398861.0,551.67477287
188083.0,7398800.0,552.167291617
188169.0,7398758.0,552.71810624
188269.0,7398748.0,553.52424169
188368.0,7398739.0,554.183336556
188458.0,7398784.0,554.581107357
188547.0,7398829.0,554.849030035
188637.0,7398874.0,555.622492872
188727.0,7398916.0,555.653053294
188807.0,7398858.0,555.966759988
188883.0,7398794.0,556.33880741
188927.0,7398704.0,556.781655126
188971.0,7398614.0,556.99965332
189027.0,7398536.0,557.508416192
189113.0,7398485.0,558.416136295
189199.0,7398433.0,558.952698735
189293.0,7398399.0,565.282569375
189388.0,7398368.0,567.215649284
189483.0,7398393.0,563.78093423
189576.0,7398429.0,565.543346555
189660.0,7398482.0,565.207351859
189744.0,7398536.0,564.638594653
189843.0,7398547.0,563.676122582
189943.0,7398554.0,563.761470651
190029.0,7398602.0,564.338163791
190113.0,7398656.0,564.825533327
190198.0,7398709.0,565.498301835
190288.0,7398751.0,566.092812735
190380.0,7398792.0,566.613951802
190471.0,7398832.0,567.22857879
190563.0,7398873.0,568.463481073
190643.0,7398932.0,569.585289301
190718.0,7398997.0,578.146298973
190784.0,7399072.0,574.550764556
190850.0,7399148.0,578.132210771
190946.0,7399156.0,572.753615148
191041.0,7399138.0,572.63112964
191108.0,7399064.0,574.224394372
191174.0,7398990.0,574.869723597
191241.0,7398915.0,574.508091597
191250.0,7398819.0,578.128100712
191220.0,7398731.0,576.722692988
191145.0,7398664.0,574.479535097
191058.0,7398625.0,572.727375539
190958.0,7398619.0,571.881058048
190859.0,7398612.0,569.845919675
190759.0,7398604.0,569.421398493
190660.0,7398588.0,568.279645171
190574.0,7398549.0,567.090171437
190507.0,7398475.0,566.520989973
190440.0,7398400.0,566.067390048
190434.0,7398309.0,565.346714109
190523.0,7398274.0,565.910983251
190622.0,7398291.0,567.326143593
190720.0,7398308.0,568.87428909
190817.0,7398314.0,569.849176718
190887.0,7398243.0,570.564351299
190941.0,7398163.0,571.133795919
190958.0,7398064.0,571.837373782
190910.0,7398006.0,571.175935768
190810.0,7398004.0,570.121608589
190744.0,7397961.0,570.044856894
190722.0,7397863.0,570.443843686
190753.0,7397809.0,570.981359755
190853.0,7397809.0,571.95149252
190953.0,7397809.0,572.638242457
191053.0,7397809.0,573.418828485
191153.0,7397809.0,574.731406426
191253.0,7397809.0,576.681592935
191353.0,7397809.0,578.241821122
191453.0,7397809.0,579.920255342
191517.0,7397851.0,581.747930393
191532.0,7397950.0,582.156087339
191568.0,7398043.0,583.183859845
191626.0,7398114.0,586.679361474
191694.0,7398186.0,587.599692167
191775.0,7398241.0,588.33319423
191873.0,7398258.0,589.854207298
191970.0,7398243.0,590.236858091
192069.0,7398252.0,588.676346926
192169.0,7398256.0,587.411390733
192268.0,7398249.0,588.757327365
192332.0,7398187.0,590.356647821
192314.0,7398099.0,592.579859911
192252.0,7398021.0,589.187814031
192202.0,7397935.0,589.573277838
192197.0,7397836.0,585.908533608
192263.0,7397809.0,588.094212786
192363.0,7397809.0,587.557477467
192463.0,7397809.0,587.220114421
192563.0,7397809.0,586.640182006
192663.0,7397809.0,585.919854968
192763.0,7397809.0,585.326246317
192863.0,7397809.0,595.116881114
192963.0,7397809.0,590.504714418
193063.0,7397809.0,585.445440279
193163.0,7397809.0,583.051890712
193263.0,7397809.0,583.838932596
193363.0,7397809.0,591.129803258
193463.0,7397809.0,587.966181791
193563.0,7397809.0,587.50205497
193663.0,7397809.0,588.135875693
193763.0,7397809.0,589.343944455
193863.0,7397809.0,590.223772137
193883.0,7397898.0,589.380178327
193941.0,7397980.0,589.994040598
193998.0,7398062.0,589.333620041
194079.0,7398111.0,590.782149224
194176.0,7398137.0,588.250406996
194270.0,7398113.0,587.087238362
194363.0,7398076.0,587.27417859
194455.0,7398038.0,589.352323154
194548.0,7398005.0,585.527943728
194633.0,7398057.0,582.104691953
194718.0,7398110.0,581.322877702
194796.0,7398171.0,580.781265525
194867.0,7398242.0,579.930290373
194936.0,7398314.0,579.294690812
